fold,model,feature,importance
4,random_forest,max_mag_30d,0.02317843019242495
4,random_forest,mean_depth_30d,0.05105428641660469
4,random_forest,days_since_m5,0.014001176619078626
4,random_forest,min_fault_dist_km,0.019630127683848086
4,random_forest,mean_fault_dist_km_7d,0.021297915909157798
4,random_forest,pct_near_fault_30d,0.016355242437907435
4,random_forest,num_clusters_30d,0.00524891392505953
4,random_forest,largest_cluster_size_30d,0.004671676247053688
4,random_forest,pct_clustered_30d,0.012874415193412847
4,random_forest,max_grid_cell_count_30d,0.00382035697935289
4,random_forest,b_value_180d,0.04241611730454392
4,random_forest,a_value_180d,0.01743053420579761
4,random_forest,delta_b_90d,0.004886973060670237
4,gradient_boosting,count_1d,0.0018908879609283947
4,gradient_boosting,count_7d,0.013466307513390301
4,gradient_boosting,count_30d,0.769204156326596
4,gradient_boosting,max_mag_7d,0.011909329217200967
4,gradient_boosting,max_mag_30d,0.01272310767365539
4,gradient_boosting,mean_depth_30d,0.035859740252073405
4,gradient_boosting,days_since_m5,0.009977418250593478
4,gradient_boosting,min_fault_dist_km,0.018464167184633524
4,gradient_boosting,mean_fault_dist_km_7d,0.02030601628843616
4,gradient_boosting,pct_near_fault_30d,0.014117712847775448
4,gradient_boosting,num_clusters_30d,0.00790565364219669
4,gradient_boosting,largest_cluster_size_30d,0.003283127945964601
4,gradient_boosting,pct_clustered_30d,0.006090673456601012
4,gradient_boosting,max_grid_cell_count_30d,0.0011173295529233556
4,gradient_boosting,b_value_180d,0.053261286778065194
4,gradient_boosting,a_value_180d,0.018220507809974792
4,gradient_boosting,delta_b_90d,0.0022025772989913875
5,random_forest,count_1d,0.003608570189223016
5,random_forest,count_7d,0.007137773622103594
5,random_forest,count_30d,0.7026536308643642
5,random_forest,max_mag_7d,0.015260769232857681
5,random_forest,max_mag_30d,0.02494112499648768
5,random_forest,mean_depth_30d,0.0499959599934872
5,random_forest,days_since_m5,0.015351880566103905
5,random_forest,min_fault_dist_km,0.021747467430533463
5,random_forest,mean_fault_dist_km_7d,0.034304884851699816
5,random_forest,pct_near_fault_30d,0.02510063513812314
5,random_forest,num_clusters_30d,0.005688599690888078
5,random_forest,largest_cluster_size_30d,0.0077917739877532985
5,random_forest,pct_clustered_30d,0.01520124576073878
5,random_forest,max_grid_cell_count_30d,0.004766669352601865
5,random_forest,b_value_180d,0.039191121126681425
5,random_forest,a_value_180d,0.02226947492532448
5,random_forest,delta_b_90d,0.0049884182710283114
5,gradient_boosting,count_1d,0.0011161774772624417
5,gradient_boosting,count_7d,0.006200290181806718
5,gradient_boosting,count_30d,0.7635006016642185
5,gradient_boosting,max_mag_7d,0.007438230629214966
5,gradient_boosting,max_mag_30d,0.013371577487667511
5,gradient_boosting,mean_depth_30d,0.027390097797241983
5,gradient_boosting,days_since_m5,0.012990406429203962
5,gradient_boosting,min_fault_dist_km,0.01969070805325245
5,gradient_boosting,mean_fault_dist_km_7d,0.033016951144540986
5,gradient_boosting,pct_near_fault_30d,0.023338594485750663
5,gradient_boosting,num_clusters_30d,0.013504741238914528
5,gradient_boosting,largest_cluster_size_30d,0.0067718570452992444
5,gradient_boosting,pct_clustered_30d,0.006075856482103107
5,gradient_boosting,max_grid_cell_count_30d,0.001147626736410099
5,gradient_boosting,b_value_180d,0.04800950159502568
5,gradient_boosting,a_value_180d,0.01423958824377277
5,gradient_boosting,delta_b_90d,0.0021971933083144383
6,random_forest,count_1d,0.0035143236458024117
6,random_forest,count_7d,0.007577090328348058
6,random_forest,count_30d,0.7001602976516018
6,random_forest,max_mag_7d,0.016048866929673306
6,random_forest,max_mag_30d,0.024114343231672254
6,random_forest,mean_depth_30d,0.05244115484417175
6,random_forest,days_since_m5,0.014443651903543872
6,random_forest,min_fault_dist_km,0.021035927414119866
6,random_forest,mean_fault_dist_km_7d,0.033972176586165775
6,random_forest,pct_near_fault_30d,0.02500754531257925
6,random_forest,num_clusters_30d,0.007370676687981334
6,random_forest,largest_cluster_size_30d,0.007186870214087512
6,random_forest,pct_clustered_30d,0.016974488807637567
6,random_forest,max_grid_cell_count_30d,0.004143195763604335
6,random_forest,b_value_180d,0.035489646006066744
6,random_forest,a_value_180d,0.025605843961483826
6,random_forest,delta_b_90d,0.0049139007114605325
6,gradient_boosting,count_1d,0.0005489604731101254
6,gradient_boosting,count_7d,0.006088941237216151
6,gradient_boosting,count_30d,0.7468575290685909
