fold,model,train_end,test_start,test_end,train_rows,test_rows,mae,rmse,r2
6,linear_regression,2022-06-20 00:00:00+00:00,2022-06-27 00:00:00+00:00,2022-12-19 00:00:00+00:00,1049,130,0.9131870698283202,1.1429663834479706,0.5010566502934412
6,random_forest,2022-06-20 00:00:00+00:00,2022-06-27 00:00:00+00:00,2022-12-19 00:00:00+00:00,1049,130,1.0042286058770211,1.291979108418173,0.36247780949184494
6,gradient_boosting,2022-06-20 00:00:00+00:00,2022-06-27 00:00:00+00:00,2022-12-19 00:00:00+00:00,1049,130,0.9463119672963144,1.2161066693613085,0.4351571126783196
7,linear_regression,2022-12-19 00:00:00+00:00,2022-12-26 00:00:00+00:00,2023-06-19 00:00:00+00:00,1179,130,1.002478693450811,1.3667582258293665,0.37674978251085334
7,random_forest,2022-12-19 00:00:00+00:00,2022-12-26 00:00:00+00:00,2023-06-19 00:00:00+00:00,1179,130,1.0262047860210817,1.3945941937700126,0.3511045163400083
7,gradient_boosting,2022-12-19 00:00:00+00:00,2022-12-26 00:00:00+00:00,2023-06-19 00:00:00+00:00,1179,130,1.0877564722841482,1.4904022109982968,0.25888429193303075
8,linear_regression,2023-06-19 00:00:00+00:00,2023-06-26 00:00:00+00:00,2023-12-18 00:00:00+00:00,1309,130,0.8918075989827429,1.2305123942667886,0.26969043875947596
8,random_forest,2023-06-19 00:00:00+00:00,2023-06-26 00:00:00+00:00,2023-12-18 00:00:00+00:00,1309,130,0.9581953393409358,1.277322800472715,0.2130695862134745
8,gradient_boosting,2023-06-19 00:00:00+00:00,2023-06-26 00:00:00+00:00,2023-12-18 00:00:00+00:00,1309,130,0.9570664076425077,1.291739491966741,0.19520572889352572
9,linear_regression,2023-12-18 00:00:00+00:00,2023-12-25 00:00:00+00:00,2024-06-17 00:00:00+00:00,1439,130,0.7927165189410215,1.0598301669985795,0.39501743579842286
9,random_forest,2023-12-18 00:00:00+00:00,2023-12-25 00:00:00+00:00,2024-06-17 00:00:00+00:00,1439,130,0.819289885914609,1.0656143043239354,0.38839590104781396
9,gradient_boosting,2023-12-18 00:00:00+00:00,2023-12-25 00:00:00+00:00,2024-06-17 00:00:00+00:00,1439,130,0.8087960603776172,1.081672849317356,0.36982356116446613
10,linear_regression,2024-06-17 00:00:00+00:00,2024-06-24 00:00:00+00:00,2024-12-16 00:00:00+00:00,1569,130,0.7987258023842945,1.0383817092052319,0.49634832734840195
10,random_forest,2024-06-17 00:00:00+00:00,2024-06-24 00:00:00+00:00,2024-12-16 00:00:00+00:00,1569,130,0.8089101068129647,1.065763235419593,0.4694361072442065
10,gradient_boosting,2024-06-17 00:00:00+00:00,2024-06-24 00:00:00+00:00,2024-12-16 00:00:00+00:00,1569,130,0.8209925911533882,1.0725834597799646,0.4626238192017075
11,linear_regression,2024-12-16 00:00:00+00:00,2024-12-23 00:00:00+00:00,2025-06-16 00:00:00+00:00,1699,130,0.8536302201386342,1.061033287922812,0.5211716976703986
11,random_forest,2024-12-16 00:00:00+00:00,2024-12-23 00:00:00+00:00,2025-06-16 00:00:00+00:00,1699,130,0.8259428165562891,1.0813726998253943,0.5026380049252862
11,gradient_boosting,2024-12-16 00:00:00+00:00,2024-12-23 00:00:00+00:00,2025-06-16 00:00:00+00:00,1699,130,0.8580702343067302,1.0842913340997231,0.49994961316125586
12,linear_regression,2025-06-16 00:00:00+00:00,2025-06-23 00:00:00+00:00,2025-12-15 00:00:00+00:00,1829,130,0.8824436303345808,1.1080490825082978,0.5358973807189849
12,random_forest,2025-06-16 00:00:00+00:00,2025-06-23 00:00:00+00:00,2025-12-15 00:00:00+00:00,1829,130,0.8781381073264419,1.1270130373338223,0.5198754616830674
12,gradient_boosting,2025-06-16 00:00:00+00:00,2025-06-23 00:00:00+00:00,2025-12-15 00:00:00+00:00,1829,130,0.9040945039428737,1.18575526191843,0.4685209578271716
13,linear_regression,2025-12-15 00:00:00+00:00,2025-12-22 00:00:00+00:00,2026-01-19 00:00:00+00:00,1959,21,0.998621153001042,1.224965972766536,0.3235967160170322
13,random_forest,2025-12-15 00:00:00+00:00,2025-12-22 00:00:00+00:00,2026-01-19 00:00:00+00:00,1959,21,1.0579203513921098,1.2974008763836977,0.24123719845023783
13,gradient_boosting,2025-12-15 00:00:00+00:00,2025-12-22 00:00:00+00:00,2026-01-19 00:00:00+00:00,1959,21,1.1108555792930312,1.3744078572918759,0.148491640199659
