fold,model,feature,importance
2,random_forest,largest_cluster_size_30d_missing,0.0
2,random_forest,pct_clustered_30d_missing,0.0
2,random_forest,max_grid_cell_count_30d_missing,0.0
2,random_forest,b_value_180d_missing,1.862732591969237e-05
2,random_forest,a_value_180d_missing,8.06239591082753e-06
2,random_forest,delta_b_90d_missing,6.723399018143486e-05
2,random_forest,province_Davao De Oro,0.0018439499674470013
2,random_forest,province_Davao Del Norte,0.007905272749317394
2,random_forest,province_Davao Del Sur,0.003715452751095494
2,random_forest,province_Davao Occidental,0.0006351262939497849
2,random_forest,province_Davao Oriental,5.8739674614633254e-05
2,gradient_boosting,count_1d,0.000744699483115061
2,gradient_boosting,count_7d,0.0031816020875150347
2,gradient_boosting,count_30d,0.8368531723512174
2,gradient_boosting,max_mag_7d,0.012548009245849492
2,gradient_boosting,max_mag_30d,0.007835013429229131
2,gradient_boosting,mean_depth_30d,0.03430966011464344
2,gradient_boosting,days_since_m5,0.006433838730981053
2,gradient_boosting,min_fault_dist_km,0.013947882706716801
2,gradient_boosting,mean_fault_dist_km_7d,0.011418602171238851
2,gradient_boosting,pct_near_fault_30d,0.0034384490395647192
2,gradient_boosting,num_clusters_30d,0.013262524796488411
2,gradient_boosting,largest_cluster_size_30d,0.0013017030850069615
2,gradient_boosting,pct_clustered_30d,0.004339058786709839
2,gradient_boosting,max_grid_cell_count_30d,6.350024969342381e-05
2,gradient_boosting,b_value_180d,0.020879821502883374
2,gradient_boosting,a_value_180d,0.01060532390130235
2,gradient_boosting,delta_b_90d,0.005617717338484672
2,gradient_boosting,count_1d_missing,0.0
2,gradient_boosting,count_7d_missing,0.0
2,gradient_boosting,count_30d_missing,0.0
2,gradient_boosting,max_mag_7d_missing,0.0
2,gradient_boosting,max_mag_30d_missing,0.0
2,gradient_boosting,mean_depth_30d_missing,0.0
2,gradient_boosting,days_since_m5_missing,0.0
2,gradient_boosting,min_fault_dist_km_missing,0.0
2,gradient_boosting,mean_fault_dist_km_7d_missing,0.0
2,gradient_boosting,pct_near_fault_30d_missing,0.0
2,gradient_boosting,num_clusters_30d_missing,0.0
2,gradient_boosting,largest_cluster_size_30d_missing,0.0
2,gradient_boosting,pct_clustered_30d_missing,0.0
2,gradient_boosting,max_grid_cell_count_30d_missing,0.0
2,gradient_boosting,b_value_180d_missing,0.0
2,gradient_boosting,a_value_180d_missing,0.0
2,gradient_boosting,delta_b_90d_missing,0.00020102130501700022
2,gradient_boosting,province_Davao De Oro,0.00084492049583326
2,gradient_boosting,province_Davao Del Norte,0.009305213785192487
2,gradient_boosting,province_Davao Del Sur,0.0006106276706894102
2,gradient_boosting,province_Davao Occidental,0.0022576377226283194
2,gradient_boosting,province_Davao Oriental,0.0
3,random_forest,count_1d,0.0029444305383252733
3,random_forest,count_7d,0.004660177070125275
3,random_forest,count_30d,0.7695746017003933
3,random_forest,max_mag_7d,0.018953364809078964
3,random_forest,max_mag_30d,0.022384231815239075
3,random_forest,mean_depth_30d,0.04417804725489046
3,random_forest,days_since_m5,0.007687061960238642
3,random_forest,min_fault_dist_km,0.01606674689216996
3,random_forest,mean_fault_dist_km_7d,0.018463227052331832
3,random_forest,pct_near_fault_30d,0.010521768015789761
3,random_forest,num_clusters_30d,0.0054383720724597495
3,random_forest,largest_cluster_size_30d,0.005799443556072184
3,random_forest,pct_clustered_30d,0.009098875901901383
