fold,model,mae,rmse,r2,zero_mae,event_mae,event_proba_mean_zero,event_proba_mean_event
1,linear_regression,0.7946743107102614,1.0815203779677949,0.6629259223745729,1.209999148494065,0.6411846967466815,,
1,random_forest,0.77037532268169,0.9794610296132421,0.7235412987533543,0.7753225178149175,0.7685470114368015,,
1,gradient_boosting,0.8967342201824159,1.130665139867293,0.631596331661584,0.949979608633206,0.877056576624515,,
1,two_stage_expected,0.7017169462868077,0.9334590876337097,0.7489001129409115,0.6018967985851003,0.7386070008722215,0.1945326340491796,0.874435779819767
1,two_stage_gated_30,0.731039853903081,1.1917366898178756,0.5907237332347819,0.42094795732137924,0.8456390330745794,0.1945326340491796,0.874435779819767
1,two_stage_gated_50,0.6414923547018222,1.0487463177978147,0.6830455605192611,0.0,0.8785656162220608,0.1945326340491796,0.874435779819767
2,linear_regression,0.854372290777898,1.1681497559119898,0.5535943484507271,1.2908276201024265,0.7290534338431323,,
2,random_forest,0.9851378887267954,1.3030182099442251,0.44456453127254325,1.2674756250794799,0.904070617892856,,
2,gradient_boosting,0.9784614646842134,1.2660762164988908,0.4756124886056422,1.2788657225422908,0.8922067767843693,,
2,two_stage_expected,0.8593104582235259,1.1683614863561202,0.5534325092136196,1.107709745453978,0.7879878906029012,0.4025631790187211,0.8473813296005964
2,two_stage_gated_30,0.8077282242749544,1.2814343706125355,0.46281314618589053,1.1340692486441677,0.7140263459907249,0.4025631790187211,0.8473813296005964
2,two_stage_gated_50,0.8457521535569301,1.331330896551155,0.4201646873461039,1.1340692486441677,0.762968037145743,0.4025631790187211,0.8473813296005964
3,linear_regression,0.9256540421067854,1.2536319306283155,0.489899324045559,1.5457741040551127,0.7630982977125637,,
3,random_forest,0.9960724963461602,1.2648980392390592,0.48068980680193596,1.3700259128538017,0.8980458726014385,,
3,gradient_boosting,0.9969337087321697,1.33133102369502,0.4247085584306517,1.5094074900200822,0.8625959214042702,,
3,two_stage_expected,0.9623671229199801,1.2236302210616077,0.5140224607737918,1.1014869164939272,0.9258988275171007,0.36553210366164823,0.7711962486817896
3,two_stage_gated_30,1.0286993554461585,1.4862317644165433,0.2830499713302598,1.937843975599225,0.790379891910889,0.36553210366164823,0.7711962486817896
3,two_stage_gated_50,1.0068795850291257,1.5080968279720266,0.2617996251264889,0.43826042025375506,1.155935094242087,0.36553210366164823,0.7711962486817896
4,linear_regression,0.9226785910631848,1.207497812315918,0.4365774160953434,1.4096303685595795,0.8234847104620674,,
4,random_forest,0.8999241376137709,1.18984639096325,0.45292944405363766,1.4123904004612808,0.7955328618485374,,
4,gradient_boosting,0.9325051043373951,1.2462230013661248,0.3998593128012038,1.4563954008971065,0.8257867105937502,,
