province,forecast_date,forecast_window_start,forecast_window_end,predicted_max_magnitude_7d,model_name,feature_set,model_file,training_feature_file,training_target_file,status
Davao Oriental,2026-05-20 00:00:00+00:00,2026-05-21 00:00:00+00:00,2026-05-27 00:00:00+00:00,4.29236958465197,enhanced_linear_regression_updated,17_features_plus_missing_indicators_plus_province_one_hot,outputs/final_enhanced_linear_regression_pipeline_updated.joblib,outputs/feature_matrix_X_model_enhanced_updated.pkl,outputs/target_y_updated.pkl,frozen_pending_actuals
Davao Occidental,2026-05-20 00:00:00+00:00,2026-05-21 00:00:00+00:00,2026-05-27 00:00:00+00:00,3.8266241567162878,enhanced_linear_regression_updated,17_features_plus_missing_indicators_plus_province_one_hot,outputs/final_enhanced_linear_regression_pipeline_updated.joblib,outputs/feature_matrix_X_model_enhanced_updated.pkl,outputs/target_y_updated.pkl,frozen_pending_actuals
Davao De Oro,2026-05-20 00:00:00+00:00,2026-05-21 00:00:00+00:00,2026-05-27 00:00:00+00:00,1.8774733788972793,enhanced_linear_regression_updated,17_features_plus_missing_indicators_plus_province_one_hot,outputs/final_enhanced_linear_regression_pipeline_updated.joblib,outputs/feature_matrix_X_model_enhanced_updated.pkl,outputs/target_y_updated.pkl,frozen_pending_actuals
Davao Del Sur,2026-05-20 00:00:00+00:00,2026-05-21 00:00:00+00:00,2026-05-27 00:00:00+00:00,1.6909945949206242,enhanced_linear_regression_updated,17_features_plus_missing_indicators_plus_province_one_hot,outputs/final_enhanced_linear_regression_pipeline_updated.joblib,outputs/feature_matrix_X_model_enhanced_updated.pkl,outputs/target_y_updated.pkl,frozen_pending_actuals
Davao Del Norte,2026-05-20 00:00:00+00:00,2026-05-21 00:00:00+00:00,2026-05-27 00:00:00+00:00,0.7914738677940799,enhanced_linear_regression_updated,17_features_plus_missing_indicators_plus_province_one_hot,outputs/final_enhanced_linear_regression_pipeline_updated.joblib,outputs/feature_matrix_X_model_enhanced_updated.pkl,outputs/target_y_updated.pkl,frozen_pending_actuals
